timestamp, name, driver_version, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/09/13 20:10:00.819, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 20:10:05.821, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 20:10:11.102, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 20:10:16.103, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 4 MiB, 0 %
2026/09/13 20:10:21.103, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 4 MiB, 0 %
2026/09/13 20:10:26.104, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8426 MiB, 0 %
2026/09/13 20:10:31.105, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:10:36.105, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:10:41.106, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:10:46.107, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:10:51.108, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:10:56.108, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:01.109, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:06.110, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:11.110, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:16.111, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:21.112, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:26.112, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:31.113, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:36.113, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:41.114, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:46.115, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:51.115, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:11:56.116, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:01.117, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:06.117, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:11.118, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:16.119, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:21.119, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:26.120, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:31.120, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:36.121, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:12:41.122, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
